Drug Name,CNN_CNN,Daylight_AAC,Morgan_AAC,Morgan_CNN,MPNN_CNN
US_69,348.69,108.81,1215.11,8804.47,2556.88
US_358,353.33,354.96,657.77,2702.64,1896.64
US_50,354.44,249.62,306.2,358.4,1288.5
625_9,354.44,376.24,652.52,14534.92,1.31
US_239,355.4,1103.23,1046.62,3829.72,2509.95
US_374,356.99,186.98,1195.1,1000.23,3004.72
US_276,358.76,1135.08,249.61,572.41,3912.73
US_254,359.29,1000.98,495.35,753.99,1699.19
US_255,360.08,991.18,636.91,4232.74,5668.87
US_89,362.07,247.91,2960.91,2850.78,7153.1
31678_12,366.6,613.34,10572.46,15171.34,116.42
646_28,369.05,1585.29,13946.61,10922.7,3066.97
US_111,371.52,439.47,59294.32,7247.27,5868.23
646_96,371.67,1600.7,449.49,252.7,2319.28
31678_56,374.71,332.71,42411.94,28713.05,1.59
US_38,375.09,175.44,478.51,3195.82,7016.14
31678_46,375.23,757.88,105503.37,58317.84,1561.7
US_359,375.95,354.96,657.77,2702.64,2250.37
US_241,379.11,1141.6,323.14,150.2,5908.39
paper_5B,382.77,193.78,1554.67,3194.69,6362.97
US_31,388.73,401.67,124.2,194.46,4303.86
US_73,390.33,156.83,2060.96,6934.05,6206.98
646_33,404.42,1222.25,131250.47,11671.02,1491.59
US_184,405.03,142.52,5624.9,48926.77,1384.38
US_107,405.23,120.48,427.62,1023.31,2308.1
paper_6,406.15,198.91,1499.88,10969.68,2923.17
31678_36,407.82,134.58,15715.17,24535.12,2874.84
US_18,408.89,124.19,267.09,5165.89,6145.15
US_98,410.3,704.46,219.94,721.67,4197.1
US_242,411.29,1178.42,362.58,181.2,4448.02
US_210,416.1,870.45,10086.52,2066.96,4075.85
US_154,419.11,103.78,34355.25,2740.68,3377.86
US_427,430.27,4533.59,930.36,4814.97,4180.92
31678_29,433.6,73.04,3811.57,32087.74,1518.69
646_4,433.67,573.66,375.37,5469.31,1281.62
US_176,440.15,84.74,2093.65,3476.95,2457.05
US_426,444.85,1052.72,349.45,562.82,8651.93
646_38,445.06,690.08,294.44,22634.96,60832.05
US_199,446.19,580.96,635.89,2521.7,796.38
31678_17,447.68,198.11,956.82,49133.87,95.87
US_234,448.55,618.1,262.51,836.94,6946.22
646_25,450.15,172.41,940.24,3825.14,2693.28
US_236,454.81,1025.46,415.75,710.35,5481.3
US_237,454.81,731.06,380.8,565.87,12126.19
31678_52,460.27,169.87,24172.27,26207.81,5081963.73
US_46,460.71,106.97,1046.81,2778.08,6541.76
US_187,461.48,1009.26,203.04,624.56,3778.8
US_238,461.48,1061.34,340.82,1228.86,4442.5
US_334,461.48,966.01,194.22,280.9,1427.98
US_195,463.95,1241.32,297.88,282.65,6874.4
31678_58,464.84,275.86,11242.69,22267.45,2466.78
625_12,466.5,869.76,2806.37,16110.6,1909.25
US_216,466.56,711.56,320.67,1242.94,22992.04
US_121,479.17,73.5,4104.81,1585.15,7057.97
US_182,481.73,221.0,58866.65,8304.22,2684.23
US_10,488.77,452.07,265.44,667.41,4257.65
US_360,490.39,144.81,1239.75,971.27,3468.35
31678_20,493.74,339.48,10674.31,45733.6,0.04
US_439,503.44,1162.93,68057.01,10886.1,5964.08
31678_45,505.05,463.35,92654.7,11819.78,839.8
US_378,506.67,899.55,310.23,209.43,1599.43
31678_49,508.62,614.18,21031.22,34139.49,2801.58
646_60,509.46,593.1,528.16,22236.21,3741.1
646_81,510.01,772.02,35394.86,4513.29,92531.89
646_32,513.4,2369.35,156009.05,8586.18,2646.66
US_49,514.13,504.15,359.77,523.03,5159.37
US_446,518.18,3983.55,672.03,1338.98,6349.92
646_65,525.25,1690.79,2017.48,3980.97,1640.97
31678_7,525.74,84.11,7305.19,33069.87,846.33
US_105,528.76,162.46,351.68,952.31,10006.63
US_377,531.29,718.96,491.24,187.61,0.3
646_1,536.19,1542.75,2110.99,26466.27,1634.6
31678_6,538.99,131.85,2685.12,35749.88,2149.32
646_91,545.95,1809.84,3596.45,782.3,2031.17
31678_34,556.35,201.1,2059.26,32970.83,1285.42
US_100,557.78,177.49,1368.51,733.52,13278.76
31678_1,563.26,91.27,12363.53,35300.74,12439.66
31678_41,565.41,87.78,8378.2,62212.7,2424.64
US_77,586.13,74.47,1060.17,397.96,8568.06
US_127,590.03,149.47,1735.49,1424.56,2304.91
US_25,590.19,115.98,1687.2,2483.72,7118.41
646_76,592.98,28.1,201.34,67.96,2329.22
31678_35,595.45,639.69,6799.88,14334.77,3506.12
US_24,595.56,187.75,333.25,979.79,3633.86
31678_3,600.53,338.79,8154.53,25340.78,1095.91
US_109,602.47,593.95,364.57,3191.53,4002.49
31678_4,609.6,95.27,28812.34,70612.37,844.21
US_48,610.49,97.76,774.66,1098.6,4348.2
US_152,618.84,35.51,523.96,499.93,9362.84
646_8,625.53,734.89,1812.99,5401.79,2686.88
US_173,627.61,87.04,669.22,339.65,6468.09
646_67,639.39,361.15,88695.33,6308.26,536.76
US_177,641.44,167.25,1835.96,1288.86,10697.84
US_183,641.79,111.79,1293.94,2187.42,2472.02
US_13,642.61,342.52,811.57,8324.03,5889.06
US_79,677.23,252.72,1519.1,661.29,2482.0
US_166,682.76,145.01,814.35,126.62,7876308.66
US_384,683.03,864.25,216.28,259.37,4277.83
646_75,684.88,131.6,2198.82,137.27,1207.88
US_52,691.0,234.21,1192.65,731.05,2456.64
31678_13,696.88,346.94,23472.72,18285.52,8857.78
31678_18,700.77,211.05,797.93,28727.81,5244.95
646_82,716.76,855.83,3936.23,3314.12,5463.02
31678_14,723.74,150.16,7614.93,51077.1,9207.07
646_16,723.89,1502.92,27977.86,6875.69,868.45
US_408,723.99,790.57,1323.71,10101.8,1008.81
646_110,724.85,1131.48,4081.91,3891.45,2950.35
31678_59,734.62,184.98,2939.98,34083.65,33.44
US_20,735.34,560.48,186.24,270.38,2237.24
31678_39,742.63,242.47,933.6,47740.39,62502.86
31678_57,743.3,333.01,19160.33,11290.89,2063.48
US_449,758.48,176.08,3567.1,2769.07,6983.23
US_292,759.38,690.1,318.14,2477.55,7561.92
US_37,766.8,93.41,49227.56,4299.82,2568.78
646_15,767.14,1061.16,22017.51,3879.61,3400.89
US_260,769.24,300.55,1849.1,689.49,820.84
US_160,769.87,520.87,253.58,707.12,8144.2
US_27,772.25,406.89,328.05,354.93,5287.18
US_125,788.62,95.55,2005.3,1788.91,4163.69
US_128,788.62,91.71,2838.09,671.36,8089.09
31678_50,789.71,380.65,30231.43,33063.85,0.0
646_109,797.27,1995.44,4977.34,5845.13,6306.65
646_73,800.62,623.23,2502.52,5064.72,3.62
US_80,806.29,256.94,315.4,216.61,3947.43
US_51,815.72,191.92,579.81,1909.68,11347.54
US_72,819.83,185.58,1454.6,1298.9,6921.53
US_215,825.87,511.74,390.59,4358.1,6386.94
646_72,839.14,1369.94,1263.58,582.37,1836.26
US_61,843.27,231.1,1545.13,1408.53,3292.92
US_122,851.45,196.01,4745.42,5014.09,2367.81
US_393,851.7,211.22,1076.01,810.52,4864.72
31678_60,898.98,165.74,5137.19,41713.44,1809.99
US_32,924.57,169.54,264.96,641.42,4397.76
646_52,946.69,1249.42,15236.98,6406.62,2.86
646_61,954.88,1654.54,2266.7,2972.01,4490.0
31678_48,990.04,538.81,11490.44,1698.65,0.34
31678_28,992.22,181.38,21786.85,52968.38,3027.23
646_70,995.64,1929.33,2506.13,4840.97,2583.94
31678_37,1016.36,300.82,14615.22,49068.69,1.9
646_2,1021.32,2280.09,12914.82,5723.17,2419.44
US_167,1034.58,168.99,563.51,419.31,4251.74
31678_24,1037.67,473.88,3502.44,16539.72,8923.86
US_405,1048.09,1021.93,23127.34,12608.48,1562.09
31678_27,1052.27,494.89,1773.24,37989.52,0.0
US_120,1078.62,126.47,25242.01,5191.08,2927.08
US_124,1088.8,92.82,66023.4,2146.07,9051.96
US_126,1088.8,90.28,36190.83,1389.5,3023.08
31678_42,1114.84,114.67,1854.09,28063.36,0.04
646_58,1115.17,2008.08,676.43,2555.51,72.58
625_11,1172.32,1099.47,565.0,2398.69,3030.42
US_159,1219.86,600.98,188.48,1770.25,2943.9
31678_22,1234.18,180.59,3354.23,14832.41,1759.84
31678_33,1245.26,264.11,9637.62,33212.77,2.28
US_81,1261.91,192.2,531.21,2839.59,8271.24
US_214,1307.56,423.77,250.78,519.12,8380.26
US_395,1320.09,338.3,332.26,303.96,1640.72
US_64,1320.86,1272.12,1640.48,1701.72,6796.43
US_103,1348.42,209.07,509.05,195.31,7410.28
US_397,1348.71,296.36,257.31,120.34,1835.23
646_24,1372.55,371.29,11129.41,16860.04,42111.49
US_71,1377.48,229.29,2295.82,4277.29,2070.16
US_172,1383.58,183.37,411.39,183.79,19924.96
31678_8,1390.02,98.79,925.05,15637.03,81.5
646_77,1437.18,607.15,534.78,2221.91,5978.41
31678_40,1609.0,136.24,800.57,18440.57,7747.81
31678_25,1613.86,439.92,3728.82,12935.99,2148.04
31678_38,1617.28,100.28,404.95,3854.52,2154.08
US_22,1675.27,195.7,1908.76,1281.66,6060.49
US_170,1717.96,99.32,778.1,617.32,7352.04
31678_2,1737.06,286.85,1655.69,23696.51,2314.77
US_82,1748.65,266.68,1081.57,338.59,3993.88
US_169,1798.57,173.27,1283.61,1280.05,1941.98
646_120,1806.23,1191.6,484.94,8755.32,10476.41
31678_21,1856.37,633.17,2854.09,30127.65,4421.15
646_69,1861.69,763.28,23746.23,14524.57,47247.35
US_319,1936.16,140.5,1092.75,1004.44,2130.33
646_57,2018.1,2126.48,554.24,10534.88,2947.99
646_3,2077.11,6183.46,248.21,3786.55,0.17
646_37,2077.64,335.29,341.76,7797.29,757.62
625_14,2188.55,199.47,343.26,2489.62,3573.07
US_135,2191.17,749.47,836.27,678.64,4751.06
31678_16,2249.8,356.21,34896.73,21450.63,6596.83
US_347,2275.61,966.49,171.91,133.51,6855.35
31678_9,2320.83,481.63,6856.97,35528.6,1859.71
US_90,2342.12,227.88,1024.55,459.89,2797.91
US_21,2461.89,1032.53,226.82,158.24,2323.84
US_101,2731.66,258.19,955.67,1161.16,3551.15
US_148,2747.29,1136.24,661.62,521.48,8356.36
646_71,2891.27,529.56,1078.11,3331.11,1675.49
US_168,3447.24,163.59,5118.82,7922.22,7747.32
625_15,3500.43,199.47,343.26,2489.62,3689.47
625_16,3546.72,503.5,854.8,6843.41,3391.6
646_27,4912.7,249.3,11616.15,2292.86,6648.84
31678_10,4925.36,587.85,4297.0,4823.85,2175.56
31678_47,5342.31,541.16,10472.25,7718.46,40068.43
US_155,6149.3,214.26,425.93,299.51,2828.78
646_55,7042.73,573.66,375.37,5469.31,1915.23
31678_62,15827.61,272.71,1854.62,9128.35,1989.21
646_26,19028.63,187.04,37109.87,1501.22,0.22
