Drug Name,CNN_CNN,Daylight_AAC,Morgan_AAC,Morgan_CNN,MPNN_CNN
646_86,38.86,575.51,9174.8,288.65,1936.51
US_229,38.91,678.82,341.8,1254.4,4093.02
US_253,39.59,840.29,487.12,1138.88,1733.99
646_93,40.0,4652.74,737.01,760.68,5148.93
31678_11,41.12,127.48,8489.22,48469.41,2007.43
646_53,41.58,750.51,403.88,321.77,3138.35
paper_17,42.48,124.19,267.09,5165.89,2643.8
625_19,42.58,41.94,410.34,870.82,4435.92
US_226,42.83,474.56,408.55,905.31,0.68
US_86,43.51,94.82,603.12,353.53,0.35
US_333,44.31,175.32,183.02,948.39,2622.07
US_146,44.65,85.41,2350.32,772.38,6418.28
646_107,45.04,4930.33,1922.39,4650.02,2068.64
US_149,46.29,316.3,236.0,259.3,4823.87
US_434,46.31,987.73,3902.71,26525.04,1564.96
US_233,46.39,188.4,770.5,4189.02,1985.44
US_287,46.46,917.88,491.96,209.08,1627.79
646_23,46.52,431.94,2075.87,2165.56,2034.1
US_141,46.56,100.77,3493.91,1215.7,5362.11
US_308,46.91,1088.43,1004.08,546.98,1684.47
646_43,47.32,113.01,335.48,214.72,2547.59
US_230,47.58,248.02,256.33,78.92,699.71
US_364,47.58,629.09,585.04,837.1,3515.88
US_113,48.18,110.73,975.51,1493.71,9632.55
31678_15,49.12,128.67,1240.73,2544.17,1595.65
US_143,50.3,931.29,306.1,108.72,6180.85
625_6,51.17,1185.63,351.25,818.11,655.56
US_432,51.71,1037.34,695.53,8695.21,2379.9
US_325,52.98,240.45,309.22,694.82,5239.46
US_371,53.13,1985.08,276.81,517.8,2930.37
US_349,53.23,1019.71,141.88,1256.63,0.91
US_450,53.36,502.88,300.69,386.89,5090.23
625_2,53.37,1259.77,440.95,1715.76,5184.72
US_197,53.49,798.9,810.73,5879.93,1572.28
US_433,53.69,774.46,923.6,8120.62,2630.78
625_28,53.88,1382.52,383.4,3515.25,1321.04
US_108,53.91,1898.45,97.29,64.54,10807.89
US_357,53.93,236.95,810.92,5202.17,15941.35
US_244,54.1,216.89,12559.83,2375.32,12778.79
625_7,54.58,1119.88,393.62,2796.23,835.25
US_252,54.59,717.29,1941.77,3578.01,2157.13
US_145,54.6,126.51,1451.69,2330.43,9607.31
625_8,54.98,940.25,262.61,1649.78,1645.21
US_368,55.45,1945.41,249.41,335.16,2864.48
paper_35,55.59,637.97,584.09,1350.08,3042.41
US_458,55.68,942.48,585.66,1136.27,1728.33
paper_20,55.69,111.65,484.81,3320.34,2704.15
